Property_Name,Property_Id,BreadCrumbs,Price,Location,Image_url,Description,Property_Type,Bathrooms,Bedrooms
Single Bedroom House for Rent,1685616324,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '1', 'value': '1', 'key_name': 'Bedrooms', 'formatted_value': '1'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '1', 'value': '1', 'key_name': 'Bathrooms', 'formatted_value': '1'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Semi-Furnished', 'value': 'semi', 'key_name': 'Furnishing', 'formatted_value': 'Semi-Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '150', 'value': '150', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '150'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '130', 'value': '130', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '130'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'maintenance', 'value_name': '0', 'value': '0', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '0'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '1', 'value': '1', 'key_name': 'Total Floors', 'formatted_value': '1'}, {'type': 'single', 'key': 'carparking', 'value_name': '0', 'value': '0', 'key_name': 'Car Parking', 'formatted_value': '0'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'East', 'value': 'east', 'key_name': 'Facing', 'formatted_value': 'East'}]","{'INR': '₹ 4,000'}","West Hill, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/ic09vev7gvgi1-IN/image,"1 Bedroom, 1 Dining room, kitchen, and 1 bathroom 5 minutes Walk from Westhill Gov Engg college 5.5 km from Kozhikode town Well water available",Houses & Villas,1,1
4BHK  (2BHK X 2 UNITS) House for rent,1685591238,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '4', 'value': '4', 'key_name': 'Bathrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1430', 'value': '1430', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1430'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1430', 'value': '1430', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1430'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '0', 'value': '0', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '0'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '2', 'value': '2', 'key_name': 'Car Parking', 'formatted_value': '2'}, {'type': 'single', 'key': 'floorno', 'value_name': '0', 'value': '0', 'key_name': 'Floor No', 'formatted_value': '0'}, {'type': 'single', 'key': 'facing', 'value_name': 'West', 'value': 'west', 'key_name': 'Facing', 'formatted_value': 'West'}, {'type': 'single', 'key': 'projects', 'value_name': 'Sreeniketan', 'value': 'Sreeniketan', 'key_name': 'Project Name', 'formatted_value': 'Sreeniketan'}]","{'INR': '₹ 30,000'}","Govindapuram, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/qbm27o15vsl03-IN/image,"Newly constructed house 600 mtrs from MIMS hospital. Two floors having 2 BHK each can be rented individually at Rs. 15000 or as one at Rs. 30000. Bedroom size is 10 x 10 and all bedrooms have attached bathrooms. Kitchen cabinets available. Preferance will be given to salaried class such as Bank employees, Teachers, MIMS staff etc. Brokers and agents please excuse.",Houses & Villas,4,4
"First Floor 2BHK house, Ready to occupy",1685590063,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Semi-Furnished', 'value': 'semi', 'key_name': 'Furnishing', 'formatted_value': 'Semi-Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1000', 'value': '1000', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1000'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '750', 'value': '750', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '750'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'carparking', 'value_name': '3', 'value': '3', 'key_name': 'Car Parking', 'formatted_value': '3'}, {'type': 'single', 'key': 'facing', 'value_name': 'West', 'value': 'west', 'key_name': 'Facing', 'formatted_value': 'West'}, {'type': 'single', 'key': 'projects', 'value_name': 'Sawant Villa', 'value': 'Sawant Villa', 'key_name': 'Project Name', 'formatted_value': 'Sawant Villa'}]","{'INR': '₹ 12,500'}","Thondayad, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/t7xemi7s74ko1-IN/image,"First Floor 2BHK house,  near Thondayad Junction, Ready to occupy.  Residential Area, 5 mtr Road, Car shed available. Flood free zone, Pure well water. Walkable distance from National Highway. 400mtr from Bus stop.  Waste management facility available.",Houses & Villas,2,2
2BHK Flat available for rent,1685577346,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '650', 'value': '650', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '650'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '650', 'value': '650', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '650'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '0', 'value': '0', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '0'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '3+', 'value': '4', 'key_name': 'Car Parking', 'formatted_value': '3+'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'South', 'value': 'south', 'key_name': 'Facing', 'formatted_value': 'South'}, {'type': 'single', 'key': 'projects', 'value_name': 'City Apartments', 'value': 'City Apartments', 'key_name': 'Project Name', 'formatted_value': 'City Apartments'}]","{'INR': '₹ 10,500'}","West Hill, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/vlxnywrarpm12-IN/image,"The flat is situated behind district collector's residence in Westhill, Calicut. The advance amount is just Rs. 30000/-  and also have a good parking facility.  Genuine customers, please contact",Apartments,2,2
House Near meenchanda bus stop,1675997863,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1200', 'value': '1200', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1200'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1200', 'value': '1200', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1200'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '0', 'value': '0', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '0'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'North', 'value': 'north', 'key_name': 'Facing', 'formatted_value': 'North'}, {'type': 'single', 'key': 'projects', 'value_name': 'Girish Nagar colony', 'value': 'Girish Nagar colony', 'key_name': 'Project Name', 'formatted_value': 'Girish Nagar colony'}]","{'INR': '₹ 13,000'}","Meenchantha, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/ev24kbjfjxi02-IN/image,Rental house in meenchanda kozhikode. Ground floor only. Very good locality called Girish Nagar near Meenchanda bus stop. Vegetarians preferred.,Houses & Villas,2,2
"3 BHK FURNISHED FLAT FOR RENT @ NEAR MIMS, CALICUT",1685803465,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '000', 'value': '000', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '000'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '000', 'value': '000', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '000'}, {'type': 'single', 'key': 'projects', 'value_name': 'RESIDENTIAL FLAT', 'value': 'RESIDENTIAL FLAT', 'key_name': 'Project Name', 'formatted_value': 'RESIDENTIAL FLAT'}]","{'INR': '₹ 27,000'}","Puthiyara, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/hf0kfdfxt226-IN/image,"THOMAS ASSOCIATES REALTORS CALICUT   *RESIDENTIAL FLAT FOR RENT*  3BHK  LOCATION - near mims, lulu  BRANDED BUILDER   FURNISHED   RENT-30000 ( include mnc)   this picture may differ from original, this is used for advertising purpose only  RERA REGISTERED COMPANY RERA NO -  K - RERA/AG/0018/2021  For more details contact : . 63/897,Our college building, ground floor, mavoor road, calicut - 673001 . .  thomas_associates_ realtors Realestate Buyingandselling Rental Realestatesale #resorts #flatsforsale hotelsandresorts Residential_land malls agricultural_land Industrial_land Realestate_consultancy Property_managment Construction_services Renovation_services #vasthu_consultancy property_legal_advisory_and_a_lot_more",Apartments,3,3
"2BHK GOOD LOOKING FLAT FOR RENT @MANKAVE, CALICUT",1683379587,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '000', 'value': '000', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '000'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '000', 'value': '000', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '000'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}]","{'INR': '₹ 22,000'}","Mankavu, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/6mixuhlwvepn3-IN/image,"THOMAS ASSOCIATES REALTORS CALICUT  2BHK All bath attached  RENT - 22000 ( include Maintaince )  LOCATION - MANKAVE  KITCHEN CABINETS  2 BALCONY  SWIMMING POOL HEALTH CLUB COVERED CAR PARKING     this picture may differ from original, this is used for advertising purpose only  RERA REGISTERED COMPANY RERA NO -  K - RERA/AG/0018/2021  For more details contact : . 63/897,Our college building, ground floor, mavoor road, calicut - 673001 . .  thomas_associates_ realtors Realestate Buyingandselling Rental Realestatesale #resorts #flatsforsale hotelsandresorts Residential_land malls agricultural_land Industrial_land Realestate_consultancy Property_managment Construction_services Renovation_services #vasthu_consultancy property_legal_advisory_and_a_lot_more",Apartments,2,2
2 bedroom Flat for RENT in near East Nadakkavu,1681194168,"[{'type': 'single', 'key': 'type', 'value_name': 'Builder Floors', 'value': 'floors', 'key_name': 'Type', 'formatted_value': 'Builder Floors'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1050', 'value': '1050', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1050'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1050', 'value': '1050', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1050'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '2500', 'value': '2500', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '15', 'value': '15', 'key_name': 'Total Floors', 'formatted_value': '15'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '3', 'value': '3', 'key_name': 'Floor No', 'formatted_value': '3'}, {'type': 'single', 'key': 'facing', 'value_name': 'East', 'value': 'east', 'key_name': 'Facing', 'formatted_value': 'East'}]","{'INR': '₹ 16,000'}","Nadakkavu, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/prha5440wm0v2-IN/image,"2 bedroom Flat for RENT in near East Nadakkavu. 3rd Floor. 2 bedroom with attached bathroom.  Wardrobe in one bedroom, kitchen cabinet. One covered car park. Rent Rs 16000 per month and deposit 5 months rent. Only for decently employed families.  Seriously interested clients need only contact 9,4,4,7,1,1,double4,7,1 for details and site visit.  * Service charges as applicable. *Time passers pls excuse. * Rent quoted is final and avoid cheap bargaining.",Builder Floors,2,2
ഒതുക്കമുള്ള നല്ല ഒരു വീട്,1671494792,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Semi-Furnished', 'value': 'semi', 'key_name': 'Furnishing', 'formatted_value': 'Semi-Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1700', 'value': '1700', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1700'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1550', 'value': '1550', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1550'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'carparking', 'value_name': '2', 'value': '2', 'key_name': 'Car Parking', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'North-East', 'value': 'northeast', 'key_name': 'Facing', 'formatted_value': 'North-East'}, {'type': 'single', 'key': 'projects', 'value_name': 'All type of house for rent', 'value': 'All type of house for rent', 'key_name': 'Project Name', 'formatted_value': 'All type of house for rent'}]","{'INR': '₹ 20,000'}","Thondayad, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/3wlb70kafyjd2-IN/image,Get your appointment with expert team now,Houses & Villas,3,3
മനോഹരിയായ ഒരു വീട്ടിൽ താമസിച്ചലോ,1671260958,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Semi-Furnished', 'value': 'semi', 'key_name': 'Furnishing', 'formatted_value': 'Semi-Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '2210', 'value': '2210', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '2210'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '2010', 'value': '2010', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '2010'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'carparking', 'value_name': '2', 'value': '2', 'key_name': 'Car Parking', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'North-East', 'value': 'northeast', 'key_name': 'Facing', 'formatted_value': 'North-East'}, {'type': 'single', 'key': 'projects', 'value_name': 'All type of house for rent', 'value': 'All type of house for rent', 'key_name': 'Project Name', 'formatted_value': 'All type of house for rent'}]","{'INR': '₹ 22,500'}","Thondayad, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/rhtweg2nj5m31-IN/image,കോഴിക്കോട് നഗരത്തിൽ നല്ലൊരു വീട് കിട്ടാൻ  വലിയ പ്രയാസമുള്ള കാര്യമാണ് ചേച്ചി.,Houses & Villas,3,4
പുതിയ വീടാണ് കേട്ടോ പൊന്നുപോലെ നോക്കണേ,1671262457,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Semi-Furnished', 'value': 'semi', 'key_name': 'Furnishing', 'formatted_value': 'Semi-Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '2200', 'value': '2200', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '2200'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1980', 'value': '1980', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1980'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'carparking', 'value_name': '3+', 'value': '4', 'key_name': 'Car Parking', 'formatted_value': '3+'}, {'type': 'single', 'key': 'facing', 'value_name': 'North-East', 'value': 'northeast', 'key_name': 'Facing', 'formatted_value': 'North-East'}, {'type': 'single', 'key': 'projects', 'value_name': 'All type of rental Option', 'value': 'All type of rental Option', 'key_name': 'Project Name', 'formatted_value': 'All type of rental Option'}]","{'INR': '₹ 21,000'}","Thondayad, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/n6ka1kdj54cg-IN/image,അതെ നിങ്ങൾ വാടകയ്ക്ക് ഏതു വീട്ടിൽ കയറി കഴിഞ്ഞാലും ഞങ്ങൾക്ക് ഇത് മാത്രമേ പറയാനുള്ളൂ,Houses & Villas,3,3
3 bhk branded furnished flat for rent near nadakkave,1669277403,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '1500', 'value': '1500', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1500'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1250', 'value': '1250', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1250'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'projects', 'value_name': 'All types of apartments', 'value': 'All types of apartments', 'key_name': 'Project Name', 'formatted_value': 'All types of apartments'}]","{'INR': '₹ 23,000'}","Nadakkavu, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/2wl7l9hwqd4v3-IN/image,Branded flat for rent & sale available in Calicut  3 bhk branded semi furnished flat for rent near nadakkave  located in a prime location     amenities  : Gym Party area Children play area  Lift  24 Hr Security 24 Hr power backup 24 hr water supply Car parking    Expected rent : 23000 + mnc  7️⃣5️⃣9️⃣3️⃣0️⃣2️⃣ 9️⃣ 9️⃣ 9️⃣  9️⃣  Note : images shown are for representation purpose only . actual buiding differ .  Call  between : 10 am - 7 pm (Sunday off),Apartments,3,3
1 bhk appartment near civil station,1686137600,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '1', 'value': '1', 'key_name': 'Bedrooms', 'formatted_value': '1'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '1', 'value': '1', 'key_name': 'Bathrooms', 'formatted_value': '1'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '700', 'value': '700', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '700'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '700', 'value': '700', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '700'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'maintenance', 'value_name': '1500', 'value': '1500', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '1500'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '3', 'value': '3', 'key_name': 'Total Floors', 'formatted_value': '3'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '3', 'value': '3', 'key_name': 'Floor No', 'formatted_value': '3'}, {'type': 'single', 'key': 'facing', 'value_name': 'East', 'value': 'east', 'key_name': 'Facing', 'formatted_value': 'East'}, {'type': 'single', 'key': 'projects', 'value_name': 'Appartment', 'value': 'Appartment', 'key_name': 'Project Name', 'formatted_value': 'Appartment'}]","{'INR': '₹ 10,000'}","Calicut Civil Station, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/ms9eammv33vj2-IN/image,1 bath attachd room. Hall. Kitchen. Security. Well water. Car parking. 100 meeter from bus stop. Maintenance charge including,Apartments,1,1
